oa_code,All people,No condition,One or more conditions,Deafness or partial hearing loss,Blindness or partial sight loss,Learning disability,Learning difficulty,Developmental disorder,Physical disability,Mental health condition,Other condition
S00118003,114,86,28,6,3,0,4,1,8,3,12
S00118004,127,99,28,4,3,1,0,0,4,1,21
S00118005,73,51,22,12,2,0,3,0,3,1,8
S00118006,136,92,44,9,2,0,2,1,11,7,26
S00118007,132,101,31,9,1,0,5,0,7,1,20
S00118008,129,84,45,9,4,0,1,1,10,7,30
S00118009,97,71,26,2,1,0,0,0,4,5,19
S00118010,94,64,30,3,3,0,5,0,3,8,15
S00118011,126,96,30,9,3,0,0,0,8,3,18
S00118012,76,47,29,8,4,0,0,0,6,5,18
S00118013,164,115,49,18,6,0,3,2,13,4,32
S00118014,125,100,25,7,2,0,2,0,7,2,16
S00118015,168,115,53,18,5,0,0,0,10,5,35
S00118016,81,58,23,7,1,0,1,0,5,1,18
S00118017,187,138,49,8,2,1,8,1,6,10,29
S00118018,135,115,20,6,0,0,0,0,2,2,11
S00118019,97,79,18,7,2,1,1,0,9,4,10
S00118020,101,80,21,6,0,0,3,1,2,2,13
S00118021,130,101,29,6,0,0,2,1,2,2,20
S00118022,89,60,29,4,0,1,1,0,11,3,17
S00118023,140,106,34,12,1,1,2,0,8,1,20
S00118024,155,118,37,7,5,2,2,2,1,5,22
S00118025,148,112,36,11,0,0,0,0,9,8,24
S00118026,108,81,27,8,4,0,0,0,4,1,19
S00118027,167,128,39,4,3,2,4,2,10,18,15
S00118028,100,70,30,6,1,0,1,0,5,5,17
S00118029,150,109,41,10,6,0,1,1,3,2,26
S00118030,84,40,44,5,2,0,3,1,10,6,29
S00118031,77,55,22,2,2,0,1,0,4,5,12
S00118032,130,79,51,10,7,3,4,1,16,10,25
S00118033,68,53,15,2,2,2,3,0,0,1,9
S00118034,117,74,43,8,5,1,1,1,17,1,24
S00118035,125,86,39,7,3,1,3,0,8,5,24
S00118036,102,58,44,17,7,0,0,1,7,4,34
S00118037,103,80,23,5,2,0,2,1,4,3,14
S00118038,93,69,24,6,1,1,1,0,5,2,14
S00118039,160,114,46,9,1,0,0,0,8,2,34
S00118040,74,52,22,8,2,0,1,0,2,1,14
S00118041,106,76,30,5,3,4,5,1,10,3,14
S00118042,95,69,26,5,2,0,2,1,3,1,15
S00118043,103,78,25,4,2,2,7,1,8,4,12
S00118044,78,64,14,9,0,0,0,0,2,0,5
S00118045,153,112,41,11,1,1,1,1,6,9,29
S00118046,97,61,36,8,7,0,4,2,7,5,17
S00118047,60,40,20,2,1,1,0,1,3,3,15
S00118048,111,69,42,13,2,0,1,1,19,0,29
S00118049,130,88,42,10,2,0,1,1,12,1,29
S00118050,153,110,43,8,4,0,3,1,6,5,29
S00118051,95,73,22,6,1,0,2,0,4,3,13
S00118052,89,66,23,8,2,1,1,0,3,1,17
S00118053,87,50,37,7,6,0,2,0,9,2,22
S00118054,149,102,47,13,5,0,2,0,8,2,30
S00118055,171,105,66,23,5,2,2,1,20,2,42
S00118056,97,69,28,4,1,0,0,0,7,1,23
S00118057,86,59,27,13,1,0,4,1,7,3,11
S00118058,135,81,54,16,0,1,6,1,16,2,31
S00118059,143,103,40,11,5,0,1,0,11,2,25
S00118060,147,94,53,10,4,1,2,3,18,10,21
S00118061,92,58,34,6,1,0,4,3,3,3,21
S00118062,103,77,26,6,0,0,0,0,9,4,20
S00118063,117,82,35,9,0,0,5,2,9,2,16
S00118064,118,79,39,7,3,0,8,0,10,5,22
S00118065,140,76,64,14,5,0,5,0,9,3,46
S00118066,114,78,36,8,0,0,0,0,1,3,26
S00118067,104,66,38,10,2,0,1,0,10,6,25
S00118068,112,54,58,19,10,0,2,0,22,6,42
S00118069,53,36,17,3,0,0,2,0,4,2,12
S00118070,147,83,64,25,10,0,2,0,15,4,42
S00118071,83,50,33,14,1,0,2,2,6,2,15
S00118072,118,76,42,9,4,3,4,2,8,5,26
S00118073,155,102,53,17,3,0,8,1,9,5,32
S00118074,129,94,35,11,2,1,0,0,8,1,23
S00118075,93,53,40,14,6,0,0,0,10,4,25
S00118076,118,85,33,11,0,0,7,0,7,3,20
S00118077,113,72,41,12,3,0,2,0,6,4,27
S00118078,131,82,49,13,7,0,3,0,14,0,31
S00118079,84,45,39,6,1,0,2,1,8,5,30
S00118080,111,77,34,6,0,0,2,0,5,5,24
S00118081,63,53,10,3,2,0,0,1,2,2,6
S00118082,141,101,40,11,2,0,3,1,7,4,19
