oa_code,All households,No adults in employment in household: With dependent children,No adults in employment in household: No dependent children,Dependent children in household: All ages,Dependent children in household: Aged 0 to 4,One or more persons in household with a long-term health problem or disability: With dependent children,One or more persons in household with a long-term health problem or disability: No dependent children
S00107147,33,0,3,3,3,0,3
S00107148,83,1,14,9,6,1,12
S00107149,41,0,7,7,4,2,8
S00107150,52,0,28,2,1,1,26
S00107151,38,3,13,4,2,2,13
S00107152,35,0,6,6,4,0,6
S00107153,52,0,11,1,1,0,6
S00107154,46,0,9,1,0,0,6
S00107155,58,2,15,4,3,0,13
S00107156,79,0,19,7,4,0,13
S00107157,70,1,7,10,7,1,4
S00107158,43,0,7,8,4,0,8
S00107159,64,0,14,4,1,2,14
S00107160,77,0,21,3,2,1,19
S00107161,71,3,32,5,2,1,31
S00107162,54,0,13,2,1,0,11
S00107163,64,5,24,9,5,3,19
S00107164,27,0,9,6,0,1,10
S00107165,79,10,15,27,16,4,16
S00107166,30,3,2,8,6,0,2
S00107167,27,2,10,9,5,0,7
S00107168,34,0,5,2,0,0,6
S00107169,59,2,25,8,2,1,21
S00107170,33,6,13,8,4,2,11
S00107171,57,7,15,16,3,9,16
S00107172,36,8,9,11,10,0,12
S00107173,48,3,16,9,6,1,19
S00107174,65,5,33,11,4,5,28
S00107175,74,10,33,23,12,8,28
S00107176,33,1,8,17,5,2,3
S00107177,55,2,19,3,1,1,13
S00107178,25,0,4,5,1,0,7
S00107179,62,1,32,5,2,0,13
S00107180,73,3,26,12,5,2,22
S00107181,36,2,17,8,4,1,11
S00107182,51,1,10,25,3,6,11
S00107183,36,1,18,3,0,1,17
S00107184,75,11,7,28,18,4,7
S00107185,65,0,4,16,14,1,9
S00107186,64,1,15,14,13,0,18
S00107187,63,7,9,31,5,8,13
S00107188,40,0,4,18,2,2,6
S00107189,30,7,6,15,11,5,6
S00107190,52,13,9,23,10,6,11
S00107191,54,0,21,7,4,0,17
S00107192,55,0,28,8,1,3,20
S00107193,27,1,12,7,4,2,6
S00107194,55,0,15,15,7,1,13
S00107195,42,0,24,3,2,0,22
S00107196,39,1,11,5,2,0,9
S00107197,35,1,17,2,2,1,10
S00107198,40,3,11,10,3,4,6
S00107199,39,1,11,7,3,0,5
S00107200,53,3,19,5,2,2,3
S00107201,60,1,27,4,0,1,28
S00107202,46,0,23,1,0,1,14
S00107203,72,0,37,2,1,1,17
S00107204,32,1,7,5,4,0,5
S00107205,47,0,21,5,2,1,19
S00107206,47,0,18,2,2,0,2
S00107207,56,1,41,3,2,1,31
S00107208,81,5,33,15,3,6,33
S00107209,69,1,8,5,1,0,9
S00107210,56,0,10,4,4,1,1
S00107211,62,1,11,3,2,0,6
S00107212,44,1,5,5,2,1,0
S00107213,54,2,9,3,3,1,13
S00107214,76,2,20,15,5,2,20
S00107215,55,3,21,5,4,4,3
S00107216,29,0,7,4,3,0,3
S00107217,35,0,12,5,3,1,4
S00107218,32,1,8,1,1,0,3
S00107219,58,0,19,6,2,0,7
S00107220,39,0,12,2,0,1,9
S00107221,47,0,20,1,0,0,14
S00107222,63,0,25,2,0,0,9
S00107223,76,4,42,6,4,2,23
S00107224,47,0,26,2,1,0,11
S00107225,52,0,39,2,2,0,38
S00107226,30,1,11,5,3,0,8
S00107227,52,5,24,8,4,2,14
S00107228,57,2,15,11,2,3,17
S00107229,34,0,13,4,2,0,5
S00107230,58,2,22,12,4,1,18
S00107231,60,4,31,7,2,3,27
S00107232,58,1,27,2,0,0,11
S00107233,69,4,37,6,2,3,21
S00107234,43,6,19,9,5,1,6
S00107235,34,5,12,8,5,0,4
S00107236,48,0,31,4,2,0,20
S00107237,45,1,10,12,5,3,7
S00107238,58,1,14,6,4,1,9
S00107239,34,0,13,4,3,0,6
S00107240,33,0,14,1,0,1,5
S00107241,55,0,13,7,6,0,5
S00107242,44,1,15,17,7,5,10
S00107243,41,0,11,6,1,1,9
S00107244,35,3,10,11,3,3,4
S00107245,44,0,15,3,1,0,4
S00107246,65,0,22,12,4,0,10
S00107247,68,0,21,3,3,1,13
S00107248,27,0,8,5,3,3,2
S00107249,55,0,23,15,8,3,16
S00107250,50,1,26,6,3,1,12
S00107251,71,0,55,6,1,0,40
S00107252,32,0,6,10,3,1,4
S00107253,61,0,13,17,6,1,7
S00107254,50,1,29,6,3,1,17
S00107255,27,0,8,9,2,1,6
S00107256,76,1,32,23,10,1,17
S00107257,46,0,23,4,2,0,11
S00107258,44,0,35,2,0,0,26
S00107259,50,1,19,12,5,2,12
S00107260,42,0,39,0,0,0,25
S00107261,71,1,55,5,3,0,31
S00107262,39,0,21,2,2,0,11
S00107263,31,0,7,7,5,0,6
S00107264,55,0,15,6,2,2,12
S00107265,57,2,15,8,1,2,12
S00107266,37,0,14,8,4,2,7
S00107267,50,0,10,1,0,1,7
S00107268,60,0,15,4,1,2,12
S00107269,30,1,6,9,4,0,5
S00107270,57,2,12,19,7,2,9
S00107271,77,1,34,10,5,1,9
S00107272,40,0,13,19,7,0,5
S00107273,35,1,19,10,8,1,11
S00107274,53,0,53,0,0,0,35
S00107275,44,1,23,5,3,1,12
S00107276,62,0,18,7,2,0,11
S00107277,28,1,4,10,3,2,3
S00107278,57,4,17,13,5,3,12
S00107279,43,0,12,7,4,1,9
S00107280,53,1,18,15,3,3,11
S00107281,75,0,24,10,5,3,13
S00107282,48,0,10,16,2,2,5
S00107283,35,2,10,7,4,0,4
S00107284,46,1,8,28,6,6,1
S00107285,37,0,4,20,4,2,4
S00107286,56,0,17,23,11,1,14
S00107287,35,0,11,7,2,0,6
S00107288,57,0,19,16,2,3,17
S00107289,53,1,19,9,2,1,7
S00107290,34,1,12,11,2,2,8
S00107291,52,0,17,14,4,1,13
S00107292,53,0,15,6,3,0,7
S00107293,43,0,9,12,7,0,6
S00107294,71,0,16,30,11,2,8
S00107295,53,1,7,29,6,1,2
S00107296,60,0,10,31,11,4,6
S00107297,55,0,5,33,5,2,5
S00107298,61,3,7,4,3,1,6
S00107299,62,0,19,7,4,0,2
S00107300,49,1,8,5,4,1,6
S00107301,88,1,14,8,3,1,8
S00107302,49,0,8,7,5,0,3
S00107303,42,1,9,4,3,0,1
S00107304,59,0,14,0,0,0,10
S00107305,52,0,6,12,7,1,2
S00107306,27,0,0,8,2,1,1
S00107307,46,1,10,5,2,0,8
S00107308,37,1,5,3,1,1,1
S00107309,71,0,11,8,7,1,4
S00107310,69,1,7,3,3,0,8
S00107311,63,0,12,8,3,2,10
S00107312,31,1,8,8,4,0,5
S00107313,62,0,16,12,9,1,8
S00107314,27,0,8,3,3,1,4
S00107315,59,1,33,3,2,0,29
S00107316,56,0,13,1,1,1,9
S00107317,53,0,14,8,3,1,4
S00107318,84,1,38,6,2,3,23
S00107319,35,5,8,8,1,3,11
S00107320,38,4,15,11,7,6,7
S00107321,29,1,4,10,3,3,8
S00107322,83,2,37,14,5,1,29
S00107323,35,0,5,2,2,0,2
S00107324,78,0,22,5,3,2,18
S00107325,75,1,16,6,4,2,11
S00107326,63,2,12,8,8,0,3
S00107327,62,1,21,4,1,1,21
S00107328,55,2,10,8,1,2,6
S00107329,34,0,7,2,0,0,3
S00107330,57,1,11,9,5,2,14
S00107331,51,0,14,1,0,0,7
S00107332,47,1,7,3,1,0,3
S00107333,50,0,8,3,2,0,2
S00107334,69,1,11,6,3,2,3
S00107335,45,0,4,1,1,0,5
S00107336,36,3,7,10,8,4,6
S00107337,58,0,7,8,8,2,7
S00107338,63,2,17,9,2,3,19
S00107339,30,0,3,3,2,0,1
S00107340,48,0,5,2,1,0,4
S00107341,68,0,6,6,6,0,5
S00107342,32,0,3,8,6,0,1
S00107343,40,1,15,13,4,8,16
S00107344,72,8,16,22,14,2,19
S00107345,50,5,23,12,8,1,26
S00107346,36,1,17,5,1,2,15
S00107347,39,1,15,5,0,2,16
S00107348,34,3,8,7,5,1,2
S00107349,88,0,74,1,1,0,61
S00107350,64,5,26,14,7,4,29
S00107351,32,4,11,9,5,3,11
S00107352,40,0,22,0,0,0,21
S00107353,60,0,31,3,1,1,28
S00107354,71,11,27,19,12,7,19
S00107355,68,10,30,18,11,5,20
S00107356,73,0,37,3,2,0,27
S00107357,52,6,13,16,9,3,12
S00107358,32,0,9,7,7,1,8
S00107359,29,1,9,5,4,0,10
S00107360,54,3,14,12,6,5,17
S00107361,44,0,12,15,5,3,12
S00107362,51,0,17,8,4,1,11
S00107363,41,0,16,14,6,1,7
S00107364,41,0,10,15,4,1,4
S00107365,36,1,10,16,6,5,8
S00107366,48,0,14,12,4,2,11
S00107367,52,0,44,4,0,0,36
S00107368,68,0,64,1,0,0,48
S00107369,30,0,4,15,6,4,4
S00107370,74,0,23,6,3,0,8
S00107371,46,0,15,3,2,0,10
S00107372,65,1,13,10,9,1,7
S00107373,79,1,18,10,5,0,8
S00107374,77,2,23,11,7,0,14
S00107375,55,0,7,5,3,0,3
S00107376,55,0,8,11,11,0,5
S00107377,21,0,1,1,1,0,0
S00107378,28,0,4,5,3,1,4
S00107379,38,0,4,9,5,2,6
S00107380,25,1,6,5,3,0,4
S00107381,70,0,42,5,1,0,19
S00107382,51,3,12,18,10,3,13
S00107383,30,2,8,16,7,2,6
S00107384,37,0,15,7,1,0,14
S00107385,62,0,18,6,6,1,11
S00107386,65,1,9,11,5,1,5
S00107387,29,0,12,5,2,2,4
S00107388,60,2,14,10,7,0,17
S00107389,39,0,22,5,3,2,8
S00107390,43,0,18,8,1,1,10
S00107391,52,0,18,11,5,1,15
S00107392,36,2,7,18,8,1,8
S00107393,49,5,7,19,8,3,5
S00107394,46,6,5,24,11,6,7
S00107395,38,4,3,18,5,2,2
S00107396,65,0,24,15,7,1,15
S00107397,37,0,7,6,2,0,5
S00107398,44,0,3,13,3,2,10
S00107399,28,1,2,7,2,2,4
S00107400,53,1,3,8,2,2,4
S00107401,31,0,3,11,2,1,2
S00107402,74,0,11,25,10,3,8
S00107403,49,1,7,18,4,4,5
S00107404,46,0,11,5,3,0,12
S00107405,48,1,7,18,7,4,6
S00107406,44,0,4,17,3,5,6
S00107407,63,0,8,25,11,5,9
S00107408,66,1,21,14,8,2,21
S00107409,72,0,9,25,10,3,9
S00107410,39,1,5,18,12,5,5
S00107411,45,1,0,29,25,3,0
S00107412,50,2,27,5,3,1,26
S00107413,41,1,10,11,3,4,15
S00107414,32,2,10,8,5,0,12
S00107415,55,3,19,13,9,1,22
S00107416,38,3,12,12,4,1,11
S00107417,59,0,10,22,4,6,12
S00107418,77,0,74,0,0,0,54
S00107419,68,4,0,58,30,7,0
S00107420,70,3,25,31,21,6,21
S00107421,52,0,14,16,3,3,8
S00107422,89,2,6,55,13,5,5
S00107423,72,1,18,10,6,4,11
S00107424,48,0,15,6,2,1,11
S00107425,39,0,9,8,7,0,6
S00107426,51,1,12,8,4,1,7
S00107427,60,0,12,19,10,4,6
S00107428,39,1,17,9,6,0,9
S00107429,45,0,31,4,2,0,24
S00107430,64,4,23,15,3,3,23
S00107431,54,2,9,17,10,6,17
S00107432,68,6,27,10,3,7,19
S00107433,59,0,21,3,2,0,19
S00107434,31,0,5,2,0,1,4
S00107435,89,3,30,10,7,0,10
S00107436,64,3,12,9,6,2,6
S00107437,53,2,12,8,6,1,2
S00107438,75,15,18,34,14,20,20
S00107439,46,2,24,12,5,5,20
S00107440,74,11,20,32,4,11,16
S00107441,77,14,19,26,13,13,20
S00107442,31,0,21,2,1,1,9
S00107443,50,6,17,13,9,2,21
S00107444,80,5,7,57,31,14,10
S00107445,42,0,5,3,3,1,5
S00107446,38,1,5,5,3,0,6
S00107447,24,0,3,5,2,1,8
S00107448,68,10,13,29,11,9,16
S00107449,51,6,11,16,9,4,11
S00107450,59,2,26,14,5,2,13
S00107451,42,0,15,13,4,2,9
S00107452,50,0,22,14,5,1,11
S00107453,61,0,25,17,5,0,15
S00107454,66,0,8,40,10,8,7
S00107455,37,0,19,12,5,0,17
S00107456,37,2,10,9,2,4,8
S00107457,60,3,16,18,10,3,10
S00107458,50,0,11,21,8,2,8
S00107459,76,3,27,8,2,3,23
S00107460,46,0,15,9,6,0,10
S00107461,54,3,16,7,7,1,9
S00107462,39,0,16,7,3,1,11
S00107463,47,0,9,17,5,4,8
S00107464,47,2,4,21,7,3,10
S00107465,51,0,7,16,6,0,5
S00107466,65,2,12,22,8,4,14
S00107467,35,0,2,13,5,0,4
S00107468,46,1,29,5,1,0,18
S00107469,33,1,9,15,7,6,7
S00107470,33,2,5,10,5,2,10
S00107471,51,1,13,13,5,1,12
S00107472,52,2,20,9,4,0,11
S00107473,41,3,9,13,6,2,11
S00107474,31,1,6,15,6,1,6
S00107475,52,1,12,17,5,0,10
S00107476,44,1,26,7,1,3,21
S00107477,47,0,45,0,0,0,36
S00107478,33,3,3,13,7,6,6
S00107479,49,6,5,17,9,1,8
S00107480,42,3,9,12,9,0,14
S00107481,54,10,11,21,13,5,5
S00107482,54,5,11,22,10,7,13
S00107483,56,5,3,29,12,7,4
S00107484,35,4,9,9,2,5,9
S00107485,84,8,46,11,7,2,44
S00107486,45,3,32,4,2,2,31
S00107487,59,5,6,23,13,7,6
S00107488,70,15,17,36,15,16,19
S00107489,51,16,16,27,18,8,8
S00107490,48,7,26,13,7,1,21
S00107491,61,7,18,29,19,8,18
S00107492,44,5,8,17,9,6,9
S00107493,56,15,5,32,17,10,13
S00107494,37,8,20,12,9,5,13
S00107495,40,7,9,14,7,7,11
S00107496,66,11,12,32,17,12,17
S00107497,52,10,21,20,10,4,22
S00107498,27,4,11,10,4,5,11
S00107499,51,6,19,14,4,8,27
S00107500,41,6,6,21,9,5,7
S00107501,65,7,17,27,14,7,17
S00107502,31,1,16,8,3,1,16
S00107503,47,14,11,25,21,9,9
S00107504,38,0,15,5,3,2,16
S00107505,64,8,18,24,15,10,12
S00107506,49,7,16,15,1,6,18
S00107507,62,5,11,26,14,10,9
S00107508,77,0,22,12,3,1,11
S00107509,64,1,25,12,5,3,11
S00107510,37,0,19,3,1,0,14
S00107511,46,1,11,15,7,3,11
S00107512,39,0,11,6,3,0,11
S00107513,54,2,30,4,4,0,18
S00107514,74,8,36,14,6,7,25
S00107515,43,0,14,3,1,0,3
S00107516,55,0,19,5,3,0,8
S00107517,57,4,30,9,3,4,26
S00107518,59,1,23,7,3,2,14
S00107519,35,1,6,18,5,3,5
S00107520,68,1,14,35,9,7,4
S00107521,54,5,14,17,9,3,8
S00107522,60,3,8,14,8,1,10
S00107523,68,1,4,28,10,4,11
S00107524,63,1,13,20,8,2,9
S00107525,56,2,8,22,6,3,5
S00107526,46,1,15,12,3,1,11
S00107527,24,2,11,10,5,3,10
S00107528,26,6,2,14,7,4,3
S00107529,47,1,17,11,4,1,7
S00107530,80,0,22,29,8,5,16
S00107531,40,0,3,12,3,1,6
S00107532,45,3,16,15,2,0,8
S00107533,51,1,12,24,12,5,8
S00107534,54,1,6,30,5,4,3
S00107535,68,4,17,21,7,4,16
S00107536,37,4,8,9,6,0,7
S00107537,56,7,24,15,8,6,22
S00107538,36,2,21,10,2,2,19
S00107539,47,1,23,7,4,0,16
S00107540,57,1,5,12,2,3,9
S00107541,60,0,7,15,9,2,12
S00107542,59,2,6,21,8,7,8
S00107543,57,6,5,21,8,7,9
S00107544,62,0,7,18,7,4,9
S00107545,42,1,5,16,8,4,4
S00107546,58,2,5,21,8,7,7
S00107547,54,1,5,20,6,3,12
S00107548,52,1,30,5,1,3,29
S00107549,33,1,5,10,6,1,6
S00107550,71,3,6,23,12,2,10
S00107551,23,1,2,8,4,1,2
S00107552,69,10,14,26,13,6,20
S00107553,27,0,3,10,6,0,3
S00107554,65,3,3,27,16,3,6
S00107555,65,1,12,22,6,3,19
S00107556,62,0,22,7,2,0,20
S00107557,59,3,11,13,7,2,9
S00107558,68,1,15,13,6,1,14
S00107559,48,11,6,28,18,6,9
S00107560,59,6,18,14,10,4,11
S00107561,55,5,11,20,7,4,19
S00107562,36,2,11,9,4,1,17
S00107563,73,1,25,17,7,8,19
S00107564,29,0,8,4,1,0,8
S00107565,52,0,13,16,6,2,10
S00107566,72,2,26,14,4,2,15
S00107567,29,0,8,5,1,1,7
S00107568,53,1,23,15,5,5,13
S00107569,68,0,30,16,5,2,24
S00107570,71,1,5,51,22,4,3
S00107571,63,0,11,31,14,5,9
S00107572,43,1,12,9,3,1,6
S00107573,57,0,3,34,16,2,4
S00107574,60,1,8,22,6,5,16
S00107575,42,1,7,16,6,5,4
S00107576,56,0,16,15,8,2,17
S00107577,40,2,9,13,6,2,10
S00107578,53,1,11,28,9,0,6
S00107579,47,0,3,26,9,5,5
S00107580,43,1,12,8,3,3,14
S00107581,46,0,15,4,2,1,11
S00107582,55,2,23,20,5,8,14
S00107583,48,0,19,14,5,3,12
S00107584,36,0,8,6,1,0,7
S00107585,42,0,10,11,3,0,8
S00107586,90,8,28,12,7,2,25
S00107587,31,3,10,14,5,2,8
S00107588,65,2,17,6,4,1,9
S00107589,70,3,15,15,9,6,12
S00107590,52,2,7,11,8,2,10
S00107591,40,5,6,13,6,5,6
S00107592,60,0,11,9,3,0,11
S00107593,75,1,14,12,7,4,15
S00107594,66,0,5,7,7,2,6
S00107595,46,0,7,9,7,0,4
S00107596,42,0,3,3,2,0,3
S00107597,56,1,5,6,6,1,3
S00107598,33,0,14,5,1,2,17
S00107599,79,0,24,8,1,1,10
S00107600,33,0,17,1,0,0,7
S00107601,60,4,15,17,7,3,17
S00107602,54,1,6,8,4,3,7
S00107603,46,1,2,25,13,3,2
S00107604,90,1,7,41,5,8,10
S00107605,74,2,3,52,25,8,5
S00107606,64,3,4,23,17,4,5
S00107607,84,0,53,0,0,0,47
S00107608,85,0,59,0,0,0,48
S00107609,82,0,47,0,0,0,41
S00107610,56,14,15,25,13,12,21
S00107611,42,6,11,18,7,6,14
S00107612,44,0,17,9,4,2,8
S00107613,89,8,23,20,18,1,14
S00107614,52,0,23,5,4,0,14
S00107615,49,5,21,10,8,2,13
S00107616,49,0,14,10,2,1,6
S00107617,69,3,9,38,13,5,6
S00107618,35,1,5,18,3,4,3
S00107619,63,5,4,29,12,5,10
S00107620,39,2,6,18,5,1,9
S00107621,40,10,20,14,8,4,13
S00107622,55,4,33,13,6,3,24
S00107623,40,1,16,3,3,0,4
S00107624,50,0,23,0,0,0,15
S00107625,57,0,18,13,6,1,16
S00107626,41,0,9,11,4,0,11
S00107627,42,0,9,13,5,3,9
S00107628,57,0,7,18,5,6,8
S00107629,39,1,14,7,2,3,13
S00107630,60,0,29,6,0,1,24
S00107631,67,3,11,18,12,2,10
S00107632,44,1,15,11,5,2,12
S00107633,57,2,9,18,11,3,11
S00107634,31,0,0,12,5,4,5
S00107635,61,0,11,20,16,3,8
S00107636,44,0,6,16,9,0,5
S00107637,69,1,9,19,14,4,5
S00107638,36,2,5,20,13,6,5
S00107639,23,0,4,9,2,3,5
S00107640,35,0,5,11,2,4,7
S00107641,72,3,26,20,8,5,29
S00107642,42,1,4,15,5,2,8
S00107643,65,3,23,10,4,6,20
S00107644,79,0,2,51,24,5,6
S00107645,72,0,3,40,21,3,4
S00107646,28,1,3,17,5,3,5
S00107647,45,0,16,6,2,2,17
S00107648,37,0,9,10,5,3,8
S00107649,54,1,27,9,2,2,28
S00107650,49,2,6,32,10,7,4
S00107651,75,0,5,42,24,4,6
S00107652,44,0,5,26,3,0,8
S00107653,48,6,10,22,13,6,9
S00107654,55,4,20,14,5,4,22
S00107655,25,1,6,8,1,3,4
S00107656,38,1,5,16,5,2,5
S00107657,68,0,2,36,17,3,8
S00107658,51,0,3,22,13,5,3
S00107659,33,1,5,7,2,2,7
S00107660,33,1,13,6,1,1,15
S00107661,67,1,26,16,3,3,27
S00107662,70,0,8,39,17,5,8
S00107663,61,1,2,24,19,5,8
S00107664,68,1,1,43,23,4,2
S00107665,52,0,2,37,13,3,4
S00107666,56,1,6,23,6,6,7
S00107667,61,0,4,34,14,4,5
S00107668,63,1,5,44,13,2,4
S00107669,52,0,1,33,9,7,3
S00107670,54,1,5,21,13,0,5
S00107671,43,2,4,34,8,5,3
S00107672,26,0,1,13,7,0,5
S00107673,55,2,4,14,10,3,10
S00107674,52,1,8,11,2,2,15
S00107675,69,1,39,10,4,2,35
S00107676,60,4,14,18,8,8,20
S00107677,52,0,16,11,4,2,15
S00107678,40,1,14,4,2,2,17
S00107679,64,6,29,15,5,3,23
S00107680,47,4,11,15,3,6,11
S00107681,66,5,19,21,11,6,24
S00107682,38,3,11,9,6,2,11
S00107683,30,0,6,6,1,1,9
S00107684,59,5,23,19,8,4,16
S00107685,71,0,35,7,2,1,33
S00107686,38,3,12,11,4,1,13
S00107687,66,3,22,21,5,7,27
S00107688,46,2,12,14,4,3,19
S00107689,51,6,11,26,11,11,17
S00107690,40,4,14,10,4,4,16
S00107691,53,5,23,18,6,6,18
S00107692,47,5,16,20,10,7,14
S00107693,32,1,8,11,6,3,11
S00107694,62,6,12,22,9,5,15
S00107695,69,6,16,17,3,3,21
S00107696,43,2,14,11,4,2,16
S00107697,40,3,14,10,5,3,18
S00107698,45,1,14,13,3,4,15
S00107699,53,0,8,21,9,6,8
S00107700,70,3,26,26,7,7,25
S00107701,70,4,21,21,7,5,25
S00107702,46,1,15,17,4,4,12
S00107703,32,1,12,6,2,0,11
S00107704,43,2,11,7,3,1,8
S00107705,34,0,21,1,0,0,19
S00107706,42,4,9,16,2,6,10
S00107707,33,0,4,9,0,2,8
S00107708,65,0,25,10,3,0,22
S00107709,46,1,14,10,2,2,16
S00107710,34,1,8,12,2,4,16
S00107711,36,0,7,11,3,2,10
S00107712,33,0,11,10,3,0,7
S00107713,54,6,12,25,10,7,14
S00107714,65,5,11,29,10,7,15
S00107715,50,2,11,15,6,4,17
S00107716,67,2,18,18,8,3,22
S00107717,72,1,11,41,15,8,10
S00107718,51,1,9,17,3,1,11
S00107719,69,1,26,13,5,4,18
S00107720,46,9,15,18,5,5,15
S00107721,65,2,19,13,5,4,24
S00107722,54,3,27,8,1,5,27
S00107723,40,0,13,8,5,0,15
S00107724,52,2,11,19,9,4,16
S00107725,50,8,12,14,1,4,21
S00107726,45,2,19,10,5,1,23
S00107727,56,1,22,14,7,3,12
S00107728,70,2,4,7,5,2,1
S00107729,69,3,19,32,14,7,11
S00107730,46,0,18,7,3,3,20
S00107731,68,0,35,14,3,4,16
S00107732,57,2,17,11,5,2,14
S00107733,58,0,13,0,0,0,11
S00107734,52,0,10,4,3,1,9
S00107735,99,2,19,16,10,1,18
S00107736,45,2,16,7,2,0,9
S00107737,77,3,14,6,6,0,9
S00107738,42,0,40,0,0,0,34
S00107739,42,0,36,0,0,0,24
S00107740,41,0,36,0,0,0,27
S00107741,40,0,36,0,0,0,26
S00107742,41,0,32,0,0,0,27
S00107743,40,0,31,0,0,0,20
S00107744,41,0,34,0,0,0,27
S00107745,40,1,36,1,0,1,21
S00107746,42,0,31,0,0,0,25
S00107747,41,0,35,0,0,0,29
S00107748,42,0,36,0,0,0,28
S00107749,40,0,35,0,0,0,31
S00107750,42,0,39,0,0,0,26
S00107751,40,0,35,1,1,0,23
S00107752,48,0,16,1,0,0,20
S00107753,34,1,8,2,1,0,7
S00107754,76,1,19,10,8,3,21
S00107755,31,0,14,4,2,0,9
S00107756,49,0,21,11,3,1,18
S00107757,71,1,28,15,7,3,26
S00107758,51,4,14,18,6,3,17
S00107759,45,5,20,9,8,3,20
S00107760,47,4,5,14,5,3,7
S00107761,59,7,9,23,10,6,20
S00107762,47,4,13,16,4,4,7
S00107763,57,3,13,23,4,7,15
S00107764,51,1,16,17,4,3,13
S00107765,55,4,12,19,8,4,19
S00107766,53,8,19,23,9,9,15
S00107767,76,9,15,34,13,13,24
S00107768,69,2,17,18,5,8,22
S00107769,53,2,15,15,6,3,14
S00107770,41,1,13,10,2,2,20
S00107771,43,0,18,9,1,5,18
S00107772,54,5,13,19,7,7,17
S00107773,69,5,16,30,9,11,19
S00107774,59,3,19,20,9,6,14
S00107775,48,2,13,15,6,6,13
S00107776,42,4,13,12,5,4,10
S00107777,71,7,19,26,7,9,22
S00107778,53,3,22,12,5,1,17
S00107779,83,11,39,19,11,7,39
S00107780,69,7,20,24,13,4,26
S00107781,41,5,23,9,8,3,22
S00107782,47,4,21,10,5,6,19
S00107783,44,1,14,9,4,3,16
S00107784,39,1,16,3,3,0,20
S00107785,47,2,17,11,7,4,15
S00107786,63,3,24,6,3,2,22
S00107787,67,5,30,11,4,4,29
S00107788,54,2,26,14,8,2,14
S00107789,57,1,31,10,4,2,20
S00107790,77,2,41,11,4,2,38
S00107791,79,1,48,9,5,1,35
S00107792,62,3,33,11,6,2,24
S00107793,63,7,24,21,9,6,20
S00107794,64,5,26,16,6,4,28
S00107795,54,4,16,14,10,3,16
S00107796,48,0,22,5,0,2,20
S00107797,43,0,16,7,4,0,10
S00107798,42,2,12,13,7,2,11
S00107799,42,0,36,0,0,0,31
S00107800,51,2,22,8,4,3,21
S00107801,35,0,8,14,5,1,5
S00107802,29,0,12,4,1,0,16
S00107803,41,0,36,0,0,0,27
S00107804,51,0,29,7,2,2,17
S00107805,74,4,34,16,7,3,33
S00107806,62,5,17,19,5,3,21
S00107807,24,0,8,6,0,2,10
S00107808,26,1,10,8,4,1,7
S00107809,40,1,14,9,3,3,13
S00107810,45,2,16,9,3,2,14
S00107811,68,1,21,21,4,2,22
S00107812,66,2,16,26,6,5,19
S00107813,53,4,18,16,7,7,15
S00107814,40,1,11,10,5,1,11
S00107815,44,2,10,14,6,6,10
S00107816,50,1,19,16,6,3,12
S00107817,42,0,19,8,2,2,10
S00107818,45,1,9,16,6,3,12
S00107819,44,1,20,8,5,2,18
S00107820,38,3,11,12,6,1,11
S00107821,55,2,18,19,6,1,11
S00107822,46,0,22,9,5,0,18
S00107823,51,5,15,16,4,6,14
S00107824,49,0,21,9,2,1,9
S00107825,33,0,8,10,2,0,8
S00107826,47,0,21,9,1,0,17
S00107827,45,0,19,9,4,2,18
S00107828,73,2,8,11,7,3,5
S00107829,44,1,17,11,2,4,14
S00107830,60,0,17,5,3,2,11
S00107831,63,0,19,12,3,3,14
S00107832,43,0,14,12,3,1,12
S00107833,53,1,16,15,6,3,13
S00107834,56,0,51,1,1,0,38
S00107835,40,0,9,3,0,0,5
S00107836,32,0,12,10,5,0,8
S00107837,46,0,14,10,6,2,10
S00107838,56,1,17,11,3,1,17
S00107839,63,0,28,15,4,2,23
S00107840,67,0,20,29,10,2,14
S00107841,39,0,13,11,4,1,10
S00107842,47,2,12,19,7,2,8
S00107843,60,0,18,13,4,2,20
S00107844,32,1,11,11,4,2,9
S00107845,25,0,7,12,6,3,4
S00107846,37,1,12,13,4,3,9
S00107847,69,0,20,3,2,1,25
S00107848,47,0,18,11,3,0,9
S00107849,68,0,28,11,3,0,26
S00107850,43,0,14,11,2,0,12
S00107851,50,0,28,8,4,1,23
S00107852,48,0,18,13,2,1,16
S00107853,50,0,26,10,2,1,19
S00107854,58,1,20,15,6,2,18
S00107855,35,1,11,11,1,0,9
S00107856,52,0,16,10,6,0,18
S00107857,45,0,7,12,5,2,9
S00107858,41,0,20,9,3,2,14
S00107859,48,0,18,10,3,2,22
S00107860,48,4,18,16,8,3,17
S00107861,42,3,17,10,1,5,16
S00107862,51,6,22,10,4,4,18
S00107863,48,1,14,16,6,4,12
S00107864,52,0,13,14,5,4,13
S00107865,49,1,13,15,8,4,10
S00107866,42,1,9,11,6,4,8
S00107867,71,17,22,27,15,9,25
S00107868,32,1,15,3,2,2,13
S00107869,62,3,21,20,7,4,22
S00107870,54,6,19,17,5,5,19
S00107871,40,7,13,14,6,7,13
S00107872,43,2,13,10,4,3,14
S00107873,29,5,4,16,10,4,5
S00107874,46,5,15,16,9,6,15
S00107875,45,5,17,14,5,4,15
S00107876,26,4,8,10,6,4,12
