oa_code,All households,No adults in employment in household: With dependent children,No adults in employment in household: No dependent children,Dependent children in household: All ages,Dependent children in household: Aged 0 to 4,One or more persons in household with a long-term health problem or disability: With dependent children,One or more persons in household with a long-term health problem or disability: No dependent children
S00089315,50,1,14,12,6,2,12
S00089316,49,1,18,12,2,2,9
S00089317,40,1,11,14,7,1,4
S00089318,45,0,16,13,5,1,13
S00089319,60,0,17,11,5,1,17
S00089320,47,0,13,14,6,2,9
S00089321,37,0,16,10,2,2,9
S00089322,55,1,21,16,8,3,15
S00089323,40,0,19,8,2,1,14
S00089324,46,0,24,7,4,1,14
S00089325,43,0,14,12,6,1,9
S00089326,56,0,20,16,6,1,13
S00089327,50,2,20,8,3,2,14
S00089328,59,0,32,10,4,0,18
S00089329,48,0,20,6,2,0,14
S00089330,69,1,19,19,8,1,12
S00089331,69,0,29,21,7,2,15
S00089332,67,0,21,21,7,3,14
S00089333,73,0,25,24,12,3,14
S00089334,67,1,25,16,5,5,15
S00089335,62,0,18,15,10,2,12
S00089336,44,0,14,10,7,0,8
S00089337,29,0,11,4,1,1,7
S00089338,73,2,31,15,3,2,26
S00089339,69,0,31,14,9,3,15
S00089340,68,0,43,7,5,1,26
S00089341,44,1,18,7,4,1,14
S00089342,62,0,57,0,0,0,40
S00089343,49,0,14,4,1,1,4
S00089344,42,0,19,8,4,2,14
S00089345,52,0,12,6,5,0,12
S00089346,64,0,18,11,6,0,12
S00089347,48,0,17,15,2,0,12
S00089348,39,0,13,7,1,1,9
S00089349,45,0,18,11,4,3,9
S00089350,52,0,17,16,5,3,12
S00089351,68,2,15,26,14,4,15
S00089352,60,0,23,15,6,2,21
S00089353,52,0,18,8,3,1,15
S00089354,41,0,16,11,4,0,11
S00089355,58,1,11,22,7,5,9
S00089356,22,0,4,5,3,1,5
S00089357,53,2,12,12,3,4,16
S00089358,42,0,14,8,0,3,9
S00089359,56,3,19,17,7,5,16
S00089360,68,1,23,9,6,2,24
S00089361,72,2,34,16,3,3,35
S00089362,61,0,45,7,4,2,41
S00089363,27,0,5,5,2,1,4
S00089364,67,1,17,3,3,0,3
S00089365,66,2,11,10,8,0,5
S00089366,54,1,9,7,3,0,7
S00089367,54,2,19,8,2,2,16
S00089368,37,0,10,3,2,0,5
S00089369,68,1,10,10,7,0,10
S00089370,74,1,36,3,2,0,37
S00089371,75,2,28,6,2,1,26
S00089372,40,0,16,4,4,0,13
S00089373,56,1,7,4,2,1,7
S00089374,32,0,9,5,2,0,5
S00089375,74,1,37,9,5,5,20
S00089376,71,0,35,12,4,0,17
S00089377,40,0,18,8,5,1,9
S00089378,41,1,13,11,4,1,13
S00089379,75,0,31,11,3,0,18
S00089380,64,0,23,20,5,2,11
S00089381,46,0,22,11,5,1,12
S00089382,59,0,29,13,6,1,16
S00089383,48,0,15,11,4,1,12
S00089384,47,0,10,15,4,2,8
S00089385,72,1,21,9,7,0,20
S00089386,76,0,23,16,5,4,17
S00089387,66,0,33,14,8,1,25
S00089388,56,1,11,26,8,4,11
S00089389,44,0,22,9,2,0,15
S00089390,42,0,17,10,2,3,11
S00089391,72,0,33,6,2,1,30
S00089392,46,5,18,11,8,2,19
S00089393,46,4,17,13,5,4,13
S00089394,44,0,29,7,3,1,21
S00089395,71,3,29,10,4,2,21
S00089396,61,1,34,1,0,1,30
S00089397,44,1,17,11,4,3,13
S00089398,46,0,16,5,2,0,11
S00089399,43,0,42,0,0,0,34
S00089400,47,0,12,11,4,1,10
S00089401,42,0,18,6,1,2,14
S00089402,53,2,25,9,4,0,20
S00089403,41,0,15,14,2,3,10
S00089404,42,0,17,9,3,0,14
S00089405,44,1,13,13,6,1,7
S00089406,51,0,10,23,6,2,9
S00089407,62,2,25,16,4,0,18
S00089408,49,1,12,12,5,2,9
S00089409,49,0,12,15,6,4,8
S00089410,41,1,3,18,1,3,3
S00089411,34,0,6,14,4,4,3
S00089412,76,0,33,20,7,3,20
S00089413,66,2,11,26,8,5,9
S00089414,41,1,15,7,3,1,13
S00089415,44,2,12,10,3,6,9
S00089416,54,1,5,25,9,4,6
S00089417,53,0,19,14,5,1,15
S00089418,55,1,22,20,4,2,16
S00089419,56,0,14,19,5,3,9
S00089420,59,0,16,20,5,2,12
S00089421,63,0,15,29,18,2,10
S00089422,54,0,20,5,2,1,16
